VISIT_DATE,STATE_CODE,STATE_CODE_EXP,SHRP_ID,VISIT_NO,RUN_NUMBER,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,IRI_CENTER_LANE,MRI,CONSTRUCTION_NO
11/03/1991,56,Wyoming,2018,56201803,1,1.01800000667572,1.00600004196167,,1.01199996471405,1
09/14/1994,16,Idaho,1021,16102107,2,1.18900001049042,1.18400001525879,,1.18700003623962,1
12/04/1993,16,Idaho,1021,16102106,6,1.21599996089935,1.26900005340576,,1.24300003051758,1
06/20/1999,16,Idaho,1021,16102111,6,1.22200000286102,1.24600005149841,,1.23399996757507,1
07/20/1990,16,Idaho,1021,16102102,6,1.20299994945526,1.27300000190735,,1.23800003528595,1
01/22/1990,6,California,8201,06820101,4,1.31099998950958,1.3309999704361,,1.32099997997284,1
10/05/1990,16,Idaho,1021,16102103,1,1.22599995136261,1.26400005817413,,1.24500000476837,1
07/18/1995,16,Idaho,1021,16102108,8,1.18599998950958,1.19500005245209,,1.19099998474121,1
09/08/1989,16,Idaho,1021,16102101,4,1.28699994087219,1.24199998378754,,1.26400005817413,1
01/22/1990,6,California,8201,06820101,7,1.28999996185303,1.34700000286102,,1.317999958992,1
10/31/1992,56,Wyoming,2018,56201804,5,1.05799996852875,1.03100001811981,,1.0440000295639,1
12/02/1990,53,Washington,1501,53150103,5,1.01699995994568,0.962000012397766,,0.989000022411346,1
05/05/1993,53,Washington,1501,53150106,1,1.32099997997284,1.2059999704361,,1.26300001144409,1
08/01/1991,53,Washington,1501,53150104,1,1.08399999141693,1.06599998474121,,1.07500004768372,1
09/03/1996,53,Washington,1501,53150109,2,1.38900005817413,1.25699996948242,,1.32299995422363,1
11/10/1991,30,Montana,1001,30100104,2,0.995999991893768,1.05299997329712,,1.02499997615814,1
09/20/1991,16,Idaho,1021,16102104,3,1.21399998664856,1.25999999046326,,1.23699998855591,1
12/02/1990,53,Washington,1501,53150103,1,1.01300001144409,0.966000020503998,,0.989000022411346,1
12/02/1990,53,Washington,1501,53150103,4,1.0349999666214,0.929000020027161,,0.98199999332428,1
08/01/1991,53,Washington,1501,53150104,4,1.12000000476837,1.06599998474121,,1.09300005435944,1
05/05/1993,53,Washington,1501,53150106,5,1.307000041008,1.22899997234344,,1.26800000667572,1
10/31/1992,56,Wyoming,2018,56201804,4,1.05400002002716,1.01199996471405,,1.03299999237061,1
10/06/1993,56,Wyoming,2018,56201805,1,1.01400005817413,1.09200000762939,,1.05299997329712,1
11/03/1991,56,Wyoming,2018,56201803,3,1.02400004863739,0.973999977111816,,0.999000012874603,1
09/08/1989,16,Idaho,1021,16102101,1,1.29999995231628,1.24199998378754,,1.27100002765656,1
10/24/1990,56,Wyoming,2018,56201802,2,0.921000003814697,0.907999992370606,,0.913999974727631,1
09/27/2008,45,South Carolina,1024,45102411,4,1.55200004577637,1.61699998378754,,1.58500003814697,1
09/27/2008,45,South Carolina,1024,45102411,6,1.5789999961853,1.48699998855591,,1.53299999237061,1
10/24/1990,56,Wyoming,2018,56201802,5,0.917999982833862,0.907000005245209,,0.912000000476837,1
10/06/1993,56,Wyoming,2018,56201805,3,1.03999996185303,1.06299996376038,,1.05200004577637,1
08/01/1991,53,Washington,1501,53150104,3,1.11000001430511,1.0900000333786,,1.10000002384186,1
09/15/1989,30,Montana,1001,30100101,4,1,1.08399999141693,,1.04200005531311,1
09/15/1989,30,Montana,1001,30100101,3,0.978999972343445,1.05499994754791,,1.01699995994568,1
10/09/1997,30,Montana,1001,30100110,7,1.08899998664856,1.10800004005432,,1.09800004959106,1
11/10/1991,30,Montana,1001,30100104,1,0.991999983787537,1.07000005245209,,1.03100001811981,1
10/24/1990,56,Wyoming,2018,56201802,1,0.902999997138977,0.875999987125397,,0.889999985694885,1
10/24/1990,56,Wyoming,2018,56201802,4,0.906000018119812,0.906000018119812,,0.906000018119812,1
10/06/1993,56,Wyoming,2018,56201805,2,1.03799998760223,1.06200003623962,,1.04999995231628,1
11/03/1991,56,Wyoming,2018,56201803,4,1.00100004673004,0.995999991893768,,0.999000012874603,1
09/27/2008,45,South Carolina,1024,45102411,2,1.79900002479553,1.48500001430511,,1.64199995994568,1
01/22/1990,6,California,8201,06820101,8,1.28900003433228,1.34099996089935,,1.31500005722046,1
05/20/1992,53,Washington,1501,53150105,4,1.18099999427795,1.11300003528595,,1.14699995517731,1
06/25/1995,53,Washington,1501,53150108,4,1.36300003528595,1.19599997997284,,1.27999997138977,1
05/05/1993,53,Washington,1501,53150106,2,1.31099998950958,1.24699997901917,,1.27900004386902,1
09/03/1996,53,Washington,1501,53150109,1,1.41799998283386,1.22000002861023,,1.31900000572205,1
10/31/1992,56,Wyoming,2018,56201804,3,1.0900000333786,1.03299999237061,,1.06099998950958,1
11/18/2004,6,California,8201,06820111,2,1.62199997901917,1.67700004577637,,1.64999997615814,1
03/02/2005,40,Oklahoma,4165,40416520,3,2.59400010108948,2.99200010299683,,2.79299998283386,1
03/02/2005,40,Oklahoma,4165,40416520,9,2.59200000762939,2.99000000953674,,2.79099988937378,1
10/31/1992,56,Wyoming,2018,56201804,1,1.07599997520447,1.03799998760223,,1.057000041008,1
